number length
1 0.0000
2 0.0000
3 0.0000
4 0.0000
5 0.0000
6 0.0014
7 0.0029
8 0.0100
9 0.0186
10 0.0515
11 0.1402
12 0.1645
13 0.1817
14 0.2060
15 0.2303
16 0.2504
17 0.2732
18 0.2990
19 0.3247
20 0.3491
21 0.3763
22 0.4006
23 0.4320
24 0.4607
25 0.4835
26 0.5079
27 0.5265
28 0.5393
29 0.5665
30 0.5908
31 0.6109
32 0.6323
33 0.6552
34 0.6710
35 0.6938
36 0.7039
37 0.7210
38 0.7296
39 0.7439
40 0.7582
41 0.7682
42 0.7768
43 0.7954
44 0.8083
45 0.8212
46 0.8298
47 0.8355
48 0.8441
49 0.8555
50 0.8627
51 0.8655
52 0.8755
53 0.8784
54 0.8841
55 0.8941
56 0.8970
57 0.9041
58 0.9084
59 0.9127
60 0.9170
61 0.9242
62 0.9299
63 0.9356
64 0.9371
65 0.9442
66 0.9456
67 0.9456
68 0.9542
69 0.9542
70 0.9585
71 0.9614
72 0.9614
73 0.9614
74 0.9642
75 0.9657
76 0.9685
77 0.9700
78 0.9714
79 0.9742
80 0.9742
81 0.9742
82 0.9757
83 0.9771
84 0.9771
85 0.9800
86 0.9857
87 0.9857
88 0.9871
89 0.9871
90 0.9886
91 0.9928
92 0.9928
93 0.9928
94 0.9928
95 0.9928
96 0.9928
97 0.9928
98 0.9928
99 0.9928
100 0.9928
101 0.9943
102 0.9971
103 0.9971
104 0.9971
105 0.9986
106 0.9986
107 0.9986
108 0.9986
109 0.9986
110 0.9986
111 1.0000
112 1.0000
